order_1,order_1
di.wav,di.wav
ba.wav,ba.wav
pu.wav,pu.wav
bu.wav,pi.wav
pa.wav,tu.wav
da.wav,bi.wav
pi.wav,ta.wav
tu.wav,ti.wav
bi.wav,du.wav
ta.wav,bu.wav
ti.wav,pa.wav
du.wav,da.wav
di.wav,ta.wav
ba.wav,ti.wav
pu.wav,du.wav
pi.wav,di.wav
tu.wav,ba.wav
bi.wav,pu.wav
ta.wav,pi.wav
ti.wav,tu.wav
du.wav,bi.wav
bu.wav,bu.wav
pa.wav,pa.wav
da.wav,da.wav
di.wav,ta.wav
ba.wav,ti.wav
pu.wav,du.wav
pi.wav,pi.wav
tu.wav,tu.wav
bi.wav,bi.wav
ta.wav,bu.wav
ti.wav,pa.wav
du.wav,da.wav
bu.wav,di.wav
pa.wav,ba.wav
da.wav,pu.wav
di.wav,bu.wav
ba.wav,pa.wav
pu.wav,da.wav
ta.wav,pi.wav
ti.wav,tu.wav
du.wav,bi.wav
bu.wav,ta.wav
pa.wav,ti.wav
da.wav,du.wav
pi.wav,di.wav
tu.wav,ba.wav
bi.wav,pu.wav
di.wav,pi.wav
ba.wav,tu.wav
pu.wav,bi.wav
ta.wav,bu.wav
ti.wav,pa.wav
du.wav,da.wav
pi.wav,ta.wav
tu.wav,ti.wav
bi.wav,du.wav
bu.wav,di.wav
pa.wav,ba.wav
da.wav,pu.wav
di.wav,bu.wav
ba.wav,pa.wav
pu.wav,da.wav
bu.wav,ta.wav
pa.wav,ti.wav
da.wav,du.wav
pi.wav,pi.wav
tu.wav,tu.wav
bi.wav,bi.wav
ta.wav,di.wav
ti.wav,ba.wav
du.wav,pu.wav
bu.wav,bu.wav
pa.wav,pa.wav
da.wav,da.wav
pi.wav,ta.wav
tu.wav,ti.wav
bi.wav,du.wav
di.wav,pi.wav
ba.wav,tu.wav
pu.wav,bi.wav
ta.wav,di.wav
ti.wav,ba.wav
du.wav,pu.wav
bu.wav,ta.wav
pa.wav,ti.wav
da.wav,du.wav
ta.wav,pi.wav
ti.wav,tu.wav
du.wav,bi.wav
pi.wav,bu.wav
tu.wav,pa.wav
bi.wav,da.wav
di.wav,di.wav
ba.wav,ba.wav
pu.wav,pu.wav
di.wav,bu.wav
ba.wav,pa.wav
pu.wav,da.wav
ta.wav,pi.wav
ti.wav,tu.wav
du.wav,bi.wav
pi.wav,di.wav
tu.wav,ba.wav
bi.wav,pu.wav
bu.wav,ta.wav
pa.wav,ti.wav
da.wav,du.wav
pi.wav,di.wav
tu.wav,ba.wav
bi.wav,pu.wav
di.wav,pi.wav
ba.wav,tu.wav
pu.wav,bi.wav
ta.wav,bu.wav
ti.wav,pa.wav
du.wav,da.wav
bu.wav,ta.wav
pa.wav,ti.wav
da.wav,du.wav
bu.wav,bu.wav
pa.wav,pa.wav
da.wav,da.wav
pi.wav,pi.wav
tu.wav,tu.wav
bi.wav,bi.wav
di.wav,di.wav
ba.wav,ba.wav
pu.wav,pu.wav
ta.wav,ta.wav
ti.wav,ti.wav
du.wav,du.wav
pi.wav,pi.wav
tu.wav,tu.wav
bi.wav,bi.wav
ta.wav,bu.wav
ti.wav,pa.wav
du.wav,da.wav
di.wav,di.wav
ba.wav,ba.wav
pu.wav,pu.wav
bu.wav,ta.wav
pa.wav,ti.wav
da.wav,du.wav
di.wav,ta.wav
ba.wav,ti.wav
pu.wav,du.wav
pi.wav,di.wav
tu.wav,ba.wav
bi.wav,pu.wav
ta.wav,pi.wav
ti.wav,tu.wav
du.wav,bi.wav
bu.wav,bu.wav
pa.wav,pa.wav
da.wav,da.wav
di.wav,ta.wav
ba.wav,ti.wav
pu.wav,du.wav
ta.wav,pi.wav
ti.wav,tu.wav
du.wav,bi.wav
pi.wav,di.wav
tu.wav,ba.wav
bi.wav,pu.wav
bu.wav,bu.wav
pa.wav,pa.wav
da.wav,da.wav
ta.wav,bu.wav
ti.wav,pa.wav
du.wav,da.wav
pi.wav,di.wav
tu.wav,ba.wav
bi.wav,pu.wav
bu.wav,ta.wav
pa.wav,ti.wav
da.wav,du.wav
di.wav,pi.wav
ba.wav,tu.wav
pu.wav,bi.wav
pi.wav,bu.wav
tu.wav,pa.wav
bi.wav,da.wav
ta.wav,ta.wav
ti.wav,ti.wav
du.wav,du.wav
di.wav,di.wav
ba.wav,ba.wav
pu.wav,pu.wav
bu.wav,pi.wav
pa.wav,tu.wav
da.wav,bi.wav
pi.wav,pi.wav
tu.wav,tu.wav
bi.wav,bi.wav
di.wav,di.wav
ba.wav,ba.wav
pu.wav,pu.wav
ta.wav,bu.wav
ti.wav,pa.wav
du.wav,da.wav
bu.wav,ta.wav
pa.wav,ti.wav
da.wav,du.wav
di.wav,ta.wav
ba.wav,ti.wav
pu.wav,du.wav
bu.wav,bu.wav
pa.wav,pa.wav
da.wav,da.wav
pi.wav,di.wav
tu.wav,ba.wav
bi.wav,pu.wav
ta.wav,pi.wav
ti.wav,tu.wav
du.wav,bi.wav
pi.wav,di.wav
tu.wav,ba.wav
bi.wav,pu.wav
ta.wav,bu.wav
ti.wav,pa.wav
du.wav,da.wav
di.wav,pi.wav
ba.wav,tu.wav
pu.wav,bi.wav
bu.wav,ta.wav
pa.wav,ti.wav
da.wav,du.wav
ta.wav,ta.wav
ti.wav,ti.wav
du.wav,du.wav
di.wav,bu.wav
ba.wav,pa.wav
pu.wav,da.wav
bu.wav,pi.wav
pa.wav,tu.wav
da.wav,bi.wav
pi.wav,di.wav
tu.wav,ba.wav
bi.wav,pu.wav
di.wav,bu.wav
ba.wav,pa.wav
pu.wav,da.wav
bu.wav,di.wav
pa.wav,ba.wav
da.wav,pu.wav
pi.wav,pi.wav
tu.wav,tu.wav
bi.wav,bi.wav
ta.wav,ta.wav
ti.wav,ti.wav
du.wav,du.wav
di.wav,bu.wav
ba.wav,pa.wav
pu.wav,da.wav
ta.wav,ta.wav
ti.wav,ti.wav
du.wav,du.wav
bu.wav,di.wav
pa.wav,ba.wav
da.wav,pu.wav
pi.wav,pi.wav
tu.wav,tu.wav
bi.wav,bi.wav
bu.wav,di.wav
pa.wav,ba.wav
da.wav,pu.wav
di.wav,bu.wav
ba.wav,pa.wav
pu.wav,da.wav
ta.wav,pi.wav
ti.wav,tu.wav
du.wav,bi.wav
pi.wav,ta.wav
tu.wav,ti.wav
bi.wav,du.wav
di.wav,di.wav
ba.wav,ba.wav
pu.wav,pu.wav
pi.wav,bu.wav
tu.wav,pa.wav
bi.wav,da.wav
ta.wav,ta.wav
ti.wav,ti.wav
du.wav,du.wav
bu.wav,pi.wav
pa.wav,tu.wav
da.wav,bi.wav
bu.wav,di.wav
pa.wav,ba.wav
da.wav,pu.wav
ta.wav,bu.wav
ti.wav,pa.wav
du.wav,da.wav
di.wav,pi.wav
ba.wav,tu.wav
pu.wav,bi.wav
pi.wav,ta.wav
tu.wav,ti.wav
bi.wav,du.wav
di.wav,ta.wav
ba.wav,ti.wav
pu.wav,du.wav
bu.wav,di.wav
pa.wav,ba.wav
da.wav,pu.wav
ta.wav,pi.wav
ti.wav,tu.wav
du.wav,bi.wav
pi.wav,bu.wav
tu.wav,pa.wav
bi.wav,da.wav
bu.wav,bu.wav
pa.wav,pa.wav
da.wav,da.wav
ta.wav,ta.wav
ti.wav,ti.wav
du.wav,du.wav
pi.wav,pi.wav
tu.wav,tu.wav
bi.wav,bi.wav
di.wav,di.wav
ba.wav,ba.wav
pu.wav,pu.wav
pi.wav,bu.wav
tu.wav,pa.wav
bi.wav,da.wav
bu.wav,di.wav
pa.wav,ba.wav
da.wav,pu.wav
ta.wav,pi.wav
ti.wav,tu.wav
du.wav,bi.wav
di.wav,ta.wav
ba.wav,ti.wav
pu.wav,du.wav
